znacka	nehod	vaznych	automobilu	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
AUDI	14259	393	86280	6	14	24	18	26	23	19	20	22	19	19	21	23	26	15	16	10	12	9	8	11	8	9	2	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMW	14031	476	81470	8	23	26	23	17	17	17	22	20	30	15	19	24	27	28	38	23	16	17	13	8	11	5	8	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITROEN	18126	580	185144	7	15	15	16	22	21	27	37	34	46	44	48	51	44	31	35	26	22	7	6	7	4	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAEWOO	3452	151	25342	0	1	0	5	4	2	3	6	9	18	19	23	18	10	8	7	4	4	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIAT	19317	793	185057	10	23	13	21	29	28	23	24	28	45	62	60	66	49	52	45	48	42	28	9	25	22	10	11	3	3	1	1	0	0	0	2	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORD	47697	1491	380410	26	31	52	57	61	54	59	72	72	60	112	94	119	93	116	86	71	72	51	35	31	22	11	5	4	4	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HONDA	6341	250	45813	3	10	12	11	12	12	9	12	9	12	7	7	14	10	20	11	9	13	13	10	14	6	6	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HYUNDAI	11006	340	130082	23	31	32	34	17	19	19	16	16	20	15	16	16	14	20	8	9	7	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kia	5645	164	67390	13	20	19	18	14	15	11	9	3	6	6	12	7	1	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAZDA	7965	280	57210	5	8	5	9	12	13	7	8	9	13	13	18	13	12	19	23	20	13	20	14	9	4	4	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
